id,название,цена,бренд,скидка,рейтинг,в наличии,id продавца,id бренда
8941826,Бюстгальтер женский большие размеры без поролона кружевной,80500.0,ANDETTA,32,5.0,9,18592,20480
132251771,Бюстгальтер женский большие размеры Лифчик без поролона,92400.0,ANDETTA,28,5.0,9,18592,20480
15054285,Бюстгальтер женский большие размеры кружевной без пушап,86100.0,ANDETTA,45,5.0,9,18592,20480
66524060,Бюстгальтер женский большие размеры без поролона кружевной,86900.0,ANDETTA,43,5.0,9,18592,20480
126903199,Бюстгальтер женский большие размеры без поролона прозрачный,75900.0,ANDETTA,41,5.0,9,18592,20480
10431400,Бюстгальтер женский без косточек без поролона без пушап,72000.0,ANDETTA,42,5.0,7,18592,20480
25724827,Бюстгальтер женский без косточек без поролона без пушап,39600.0,ANDETTA,55,5.0,7,18592,20480
8704106,Бюстгальтер женский большие размеры кружевной без пушап,94800.0,ANDETTA,40,5.0,9,18592,20480
83772811,Бюстгальтер женский без поролона без пушап хлопок,74600.0,ANDETTA,44,5.0,9,18592,20480
117921315,Бюстгальтер Лифчик женский без поролона кружевной без пушап,131000.0,ANDETTA,37,5.0,9,18592,20480
109564385,Бюстгальтер женский без поролона кружевной Лифчик без пушап,160900.0,ANDETTA,23,5.0,9,18592,20480
158430522,Ночная сорочка Ночнушка женская вискоза Комбинация бретелях,153200.0,ANDETTA,23,5.0,10,18592,20480
83768884,Бюстгальтер женский без поролона без пушап хлопок,82100.0,ANDETTA,39,5.0,9,18592,20480
25724826,Бюстгальтер женский без косточек без поролона белый,42400.0,ANDETTA,51,5.0,7,18592,20480
66826645,Пеньюар женский кружевной комплект нижнего белья сетка,99900.0,ANDETTA,63,5.0,10,18592,20480
23635932,Бюстгальтер женский без косточек без поролона без пушап,42400.0,ANDETTA,51,5.0,7,18592,20480
53160222,Бюстгальтер женский большие размеры кружевной без пушап,124800.0,ANDETTA,37,5.0,9,18592,20480
11222941,Бюстгальтер женский без косточек без поролона без пушап,74000.0,ANDETTA,40,5.0,7,18592,20480
147842220,Бюстгальтер женский кружевной без пушап Лифчик балконет,115400.0,ANDETTA,32,5.0,10,18592,20480
33359355,Бюстгальтер женский большие размеры кружевной без пушап,124800.0,ANDETTA,37,5.0,9,18592,20480
23630653,Бюстгальтер женский без косточек без поролона черный,45100.0,ANDETTA,48,5.0,7,18592,20480
6574081,Бюстгальтер больших размеров кружевной черный без пушап,117000.0,ANDETTA,40,5.0,9,18592,20480
33371906,Бюстгальтер женский большие размеры кружевной без пушап,113500.0,ANDETTA,28,5.0,9,18592,20480
